IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "September 13, 2018"
PROD_DATE "2018:07"
SAMPLE_BACKING "white"
SERIAL "R180730"
MATERIAL "Kodak Professional Endura Premier"
NUMBER_OF_FIELDS 13
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H          D_RED  D_GREEN  D_BLUE  D_VIS
A19        69.39   72.35   62.45          88.14   -0.80   -2.71           2.82  253.48           0.15    0.14    0.13    0.14
A20         1.37    1.12    0.78           9.94    9.20    2.47           9.52   15.02           1.76    2.07    2.00    1.91
A21         5.25    3.34    0.85          21.35   28.54   20.91          35.38   36.22           1.09    1.86    1.96    1.38
A22        10.32    5.91    0.90          29.17   42.72   33.48          54.27   38.09           0.78    1.78    1.93    1.11
B01          3.38    2.99    1.70          19.99    8.42    7.26          11.12   40.77           1.37    1.61    1.66    1.49
B02          4.11    3.09    1.13          20.38   17.90   14.91          23.30   39.80           1.23    1.72    1.83    1.45
B03          4.69    3.05    0.73          20.23   26.29   21.13          33.73   38.78           1.14    1.88    2.02    1.42
B04          5.21    3.32    0.70          21.30   28.20   23.55          36.74   39.86           1.09    1.87    2.04    1.38
B05         12.90   11.06    5.92          39.68   15.71   12.92          20.34   39.42           0.77    1.06    1.13    0.92
B06         14.90   11.21    3.94          39.94   27.19   23.87          36.18   41.27           0.66    1.16    1.30    0.89
B07         17.35   11.28    2.35          40.05   40.70   35.56          54.04   41.14           0.57    1.31    1.52    0.86
B08         19.92   11.17    1.20          39.86   54.77   47.44          72.46   40.90           0.50    1.53    1.80    0.83
B09         40.77   40.31   29.81          69.69    5.92    5.30           7.95   41.86           0.34    0.42    0.44    0.39
B10        42.65   40.15   26.54          69.58   12.11   10.51          16.04   40.95           0.29    0.45    0.49    0.38
B11        44.73   40.38   23.80          69.74   17.51   15.68          23.50   41.84           0.25    0.47    0.54    0.37
B12        46.25   40.00   21.22          69.47   22.98   20.18          30.58   41.28           0.22    0.50    0.58    0.36
B13        66.24   72.52   63.04          88.22   -8.05   -3.14           8.64  201.32           0.19    0.11    0.12    0.15
B14        69.64   68.92   61.13          86.47    6.94   -4.30           8.17  328.21           0.12    0.18    0.14    0.16
B15        72.51   76.17   52.59          89.94   -1.96   10.55          10.73  100.54           0.11    0.12    0.20    0.12
B16        58.03   60.40   49.58          82.05   -0.50    0.30           0.58  149.26           0.22    0.22    0.22    0.22
B17        66.10   65.50   50.00          84.74    6.65    4.46           8.00   33.86           0.13    0.20    0.22    0.18
B18        63.20   69.73   51.75          86.86   -9.05    6.17          10.96  145.75           0.20    0.13    0.20    0.16
B19        61.05   63.21   60.24          83.55    0.24   -8.44           8.44  271.60           0.21    0.19    0.14    0.20
B20         2.86    2.06    0.79          15.80   17.67   12.37          21.57   34.98           1.38    1.93    1.99    1.61
B21         8.49    4.97    0.86          26.66   38.56   29.85          48.76   37.74           0.86    1.82    1.95    1.19
B22        28.89   24.58   11.90          56.66   21.39   20.41          29.56   43.66           0.41    0.72    0.83    0.57
C01          4.59    4.42    2.29          25.00    4.46   10.15          11.09   66.28           1.25    1.40    1.53    1.33
C02          4.86    4.37    1.44          24.85    8.66   18.62          20.53   65.04           1.19    1.45    1.72    1.32
C03          5.26    4.42    0.84          25.02   12.77   27.33          30.16   64.95           1.13    1.50    1.94    1.30
C04          5.81    4.88    0.89          26.40   13.28   29.01          31.91   65.41           1.09    1.46    1.92    1.26
C05         23.71   22.56   10.94          54.62    8.88   19.78          21.68   65.82           0.53    0.70    0.86    0.62
C06         25.52   22.33    5.57          54.38   17.67   39.93          43.66   66.13           0.46    0.77    1.14    0.61
C07         27.69   22.50    2.37          54.55   25.77   60.38          65.64   66.89           0.40    0.83    1.49    0.59
C08         28.77   22.33    1.31          54.37   30.76   71.05          77.42   66.59           0.38    0.88    1.75    0.58
C09         47.20   47.59   32.98          74.57    3.68    8.83           9.57   67.36           0.28    0.34    0.40    0.31
C10        48.55   47.51   26.81          74.51    7.61   18.57          20.07   67.71           0.24    0.36    0.48    0.31
C11        49.96   47.48   22.08          74.49   11.54   27.15          29.49   66.98           0.21    0.38    0.56    0.30
C12        50.87   47.16   18.12          74.29   14.81   35.03          38.03   67.08           0.19    0.40    0.65    0.30
C13        58.63   66.89   62.31          85.45  -13.68   -7.21          15.47  207.79           0.27    0.13    0.13    0.19
C14        64.32   60.41   58.28          82.06   14.20   -9.04          16.84  327.51           0.15    0.25    0.16    0.21
C15        69.62   73.22   42.85          88.55   -2.10   19.51          19.62   96.16           0.12    0.14    0.28    0.13
C16        45.47   47.19   38.73          74.31   -0.10    0.28           0.30  110.31           0.32    0.32    0.33    0.33
C17        58.55   55.26   39.45          79.19   13.09    7.74          15.21   30.60           0.16    0.30    0.32    0.24
C18        53.38   61.72   41.85          82.76  -15.16   10.79          18.61  144.55           0.28    0.17    0.29    0.22
C19        50.20   51.34   56.84          76.88    1.87  -16.49          16.59  276.45           0.31    0.28    0.17    0.30
C20         1.75    1.50    0.76          12.59    8.13    7.30          10.92   41.90           1.65    1.93    2.00    1.78
C21        22.87   17.23    4.76          48.55   31.25   34.02          46.19   47.42           0.48    0.98    1.22    0.70
C22        34.91   31.65   17.44          63.05   15.62   17.17          23.21   47.70           0.36    0.58    0.67    0.47
D01          4.19    4.37    2.34          24.85   -0.31    9.45           9.46   91.87           1.32    1.37    1.52    1.35
D02          4.22    4.41    1.47          24.97   -0.47   18.46          18.47   91.46           1.30    1.37    1.71    1.34
D03          4.09    4.29    0.89          24.60   -0.57   25.77          25.78   91.28           1.31    1.40    1.91    1.35
D04          4.75    5.00    0.94          26.73   -0.96   28.65          28.67   91.92           1.25    1.33    1.89    1.28
D05         26.69   27.78   13.98          59.69   -0.39   19.85          19.85   91.13           0.51    0.57    0.76    0.55
D06         26.45   27.65    7.57          59.57   -0.87   40.08          40.09   91.24           0.50    0.59    1.01    0.54
D07         26.22   27.62    3.69          59.54   -1.68   59.28          59.30   91.62           0.50    0.60    1.31    0.54
D08         25.90   27.47    1.67          59.41   -2.43   75.47          75.51   91.84           0.52    0.62    1.65    0.54
D09         53.42   55.60   37.89          79.39   -0.49   10.16          10.17   92.77           0.24    0.26    0.34    0.25
D10        53.55   55.86   30.77          79.53   -0.78   20.76          20.77   92.14           0.22    0.26    0.42    0.24
D11        53.47   55.95   25.14          79.58   -1.22   30.23          30.26   92.31           0.22    0.27    0.51    0.24
D12        52.73   55.48   11.81          79.32   -1.98   59.73          59.76   91.90           0.21    0.29    0.82    0.24
D13        51.92   61.60   61.36          82.70  -18.65  -11.02          21.67  210.57           0.35    0.15    0.13    0.23
D14        59.09   52.51   55.19          77.58   21.33  -13.55          25.27  327.57           0.17    0.34    0.19    0.26
D15        66.98   70.31   34.75          87.15   -1.79   27.93          27.99   93.66           0.13    0.17    0.37    0.14
D16        35.15   36.33   29.83          66.77    0.41    0.23           0.47   29.25           0.43    0.44    0.44    0.44
D17        51.63   46.23   30.56          73.69   19.43   11.02          22.34   29.57           0.19    0.41    0.43    0.31
D18        44.76   54.24   33.41          78.60  -20.61   15.14          25.57  143.69           0.38    0.22    0.39    0.28
D19        41.01   41.20   53.12          70.32    3.96  -23.86          24.19  279.42           0.41    0.37    0.20    0.40
D20        14.14   10.74    2.77          39.13   26.06   30.53          40.14   49.52           0.68    1.18    1.44    0.90
D21        21.61   20.81   11.57          52.74    7.44   14.62          16.40   63.02           0.58    0.73    0.84    0.66
D22        38.31   36.55   20.21          66.94   10.08   17.86          20.51   60.55           0.33    0.49    0.60    0.42
E01          3.76    4.31    2.33          24.67   -5.72    9.25          10.88  121.72           1.41    1.33    1.52    1.37
E02          3.53    4.34    1.52          24.78   -9.69   17.45          19.95  119.04           1.45    1.32    1.69    1.37
E03          3.15    4.24    0.96          24.44  -14.55   24.45          28.45  120.75           1.54    1.30    1.88    1.38
E04          3.44    4.72    0.99          25.92  -16.02   26.46          30.93  121.19           1.51    1.25    1.86    1.34
E05         12.67   14.22    7.82          44.55   -6.78   13.23          14.87  117.13           0.87    0.83    1.00    0.85
E06         11.51   14.25    4.71          44.59  -14.96   27.48          31.29  118.56           0.94    0.80    1.21    0.85
E07         10.45   14.23    2.60          44.56  -22.67   41.26          47.08  118.79           1.02    0.78    1.45    0.86
E08          9.57   14.17    1.48          44.47  -29.17   51.85          59.49  119.36           1.12    0.77    1.69    0.87
E09         37.30   39.91   28.32          69.40   -3.83    7.23           8.18  117.91           0.40    0.39    0.46    0.40
E10        36.16   40.11   23.63          69.54   -8.15   15.66          17.65  117.50           0.42    0.38    0.53    0.40
E11        34.96   40.32   20.03          69.69  -12.86   22.99          26.34  119.23           0.44    0.37    0.60    0.40
E12        31.61   40.07   11.51          69.52  -23.84   43.71          49.78  118.61           0.51    0.35    0.83    0.40
E13        45.05   55.78   59.97          79.49  -23.60  -15.18          28.06  212.76           0.45    0.17    0.14    0.29
E14        53.70   44.85   51.79          72.79   28.66  -18.15          33.92  327.66           0.20    0.43    0.22    0.33
E15        64.64   67.53   27.81          85.77   -1.07   36.28          36.30   91.69           0.13    0.19    0.46    0.16
E16        26.39   27.19   22.60          59.15    0.70   -0.32           0.77  335.70           0.55    0.57    0.56    0.57
E17        45.26   38.23   23.22          68.19   25.69   14.10          29.31   28.76           0.23    0.53    0.55    0.38
E18        36.72   46.92   26.33          74.14  -26.10   18.74          32.13  144.32           0.48    0.26    0.49    0.35
E19        32.57   31.91   48.91          63.27    6.55  -31.34          32.01  281.81           0.53    0.48    0.24    0.51
E20        24.15   16.61    1.27          47.76   40.36   60.14          72.43   56.14           0.43    1.10    1.76    0.69
E21        16.92   13.92    2.65          44.12   20.80   40.07          45.14   62.57           0.62    1.02    1.45    0.80
E22        29.47   25.33    8.24          57.39   20.45   33.74          39.46   58.78           0.40    0.72    0.98    0.55
F01          1.49    1.89    1.36          14.90   -8.61    2.40           8.94  164.42           1.89    1.65    1.75    1.75
F02          1.17    1.85    1.13          14.69  -17.36    5.02          18.07  163.86           2.12    1.59    1.82    1.78
F03          0.97    1.88    0.98          14.84  -25.13    7.59          26.25  163.20           2.34    1.54    1.88    1.79
F04          1.06    2.13    1.08          16.16  -27.31    8.29          28.54  163.12           2.33    1.48    1.83    1.74
F05          6.58    8.22    5.85          34.43  -13.05    4.19          13.71  162.22           1.23    1.02    1.13    1.11
F06          5.32    8.17    4.84          34.33  -26.59    9.06          28.09  161.18           1.44    0.96    1.20    1.13
F07          4.31    8.16    4.10          34.30  -39.43   13.19          41.58  161.51           1.71    0.91    1.27    1.15
F08          3.18    8.00    3.25          33.97  -55.06   18.15          57.97  161.76           2.20    0.87    1.35    1.18
F09         36.99   40.20   31.77          69.61   -5.71    2.11           6.08  159.74           0.42    0.38    0.41    0.40
F10        35.43   40.20   30.59          69.61  -10.90    3.95          11.60  160.10           0.46    0.36    0.43    0.41
F11        33.69   40.05   29.33          69.50  -16.39    5.75          17.37  160.66           0.50    0.35    0.44    0.41
F12        29.09   40.25   26.00          69.65  -33.81   11.57          35.74  161.11           0.64    0.30    0.49    0.43
F13        38.47   49.87   58.49          75.99  -28.44  -19.72          34.60  214.74           0.57    0.20    0.15    0.34
F14        48.51   37.89   48.17          67.94   35.86  -22.43          42.30  327.98           0.24    0.54    0.25    0.39
F15        62.37   64.63   21.37          84.30    0.11   45.43          45.43   89.86           0.14    0.22    0.57    0.17
F16        19.08   19.71   16.27          51.51    0.34   -0.00           0.34  359.46           0.69    0.70    0.70    0.70
F17        39.60   31.49   16.88          62.92   31.50   18.23          36.39   30.06           0.27    0.65    0.69    0.45
F18        29.32   39.81   19.75          69.33  -31.58   22.95          39.04  144.00           0.61    0.32    0.61    0.42
F19        25.24   24.00   44.66          56.08    9.12  -38.70          39.76  283.26           0.67    0.60    0.28    0.64
F20        25.60   24.64   11.78          56.72    7.90   20.86          22.31   69.26           0.50    0.66    0.83    0.59
F21        33.39   30.17   10.69          61.80   15.75   32.94          36.51   64.45           0.36    0.61    0.87    0.49
F22        37.81   35.35   15.73          66.02   12.44   26.32          29.11   64.71           0.32    0.52    0.71    0.42
G01          2.34    2.98    2.64          19.96  -10.28   -1.47          10.39  188.13           1.72    1.44    1.47    1.56
G02          1.86    2.89    2.84          19.60  -19.47   -3.64          19.81  190.58           1.99    1.39    1.44    1.60
G03          1.56    3.00    3.15          20.05  -28.82   -5.20          29.29  190.23           2.31    1.32    1.39    1.61
G04          1.70    3.29    3.51          21.15  -30.08   -5.75          30.63  190.83           2.31    1.28    1.35    1.57
G05          9.04   11.06    9.78          39.68  -12.84   -2.25          13.03  189.95           1.11    0.89    0.92    0.98
G06          7.63   10.96   10.34          39.52  -24.64   -4.36          25.02  190.03           1.31    0.84    0.89    1.01
G07          6.29   10.81   11.01          39.26  -36.92   -6.91          37.56  190.60           1.60    0.79    0.86    1.04
G08          4.91   10.69   11.75          39.06  -51.95   -9.51          52.82  190.37           2.17    0.74    0.83    1.07
G09         36.98   40.08   33.83          69.53   -5.39   -1.12           5.50  191.70           0.43    0.38    0.39    0.40
G10        35.33   40.59   35.05          69.89  -12.44   -2.26          12.64  190.30           0.48    0.35    0.37    0.41
G11        33.51   40.64   35.59          69.92  -18.80   -2.96          19.03  188.96           0.54    0.33    0.36    0.41
G12        28.23   40.00   37.13          69.47  -36.40   -5.89          36.87  189.19           0.72    0.28    0.34    0.44
G13        32.91   44.52   56.70          72.58  -32.37  -23.76          40.15  216.28           0.70    0.23    0.17    0.40
G14        43.56   31.62   44.45          63.03   43.03  -26.47          50.52  328.40           0.27    0.66    0.29    0.46
G15        60.43   61.89   15.88          82.86    1.79   54.99          55.02   88.14           0.14    0.25    0.70    0.19
G16        13.37   13.80   11.37          43.95    0.40    0.06           0.41    8.98           0.84    0.86    0.85    0.86
G17        34.61   25.73   11.83          57.78   37.33   22.53          43.60   31.11           0.31    0.79    0.84    0.53
G18        23.30   33.64   14.56          64.67  -36.30   26.93          45.20  143.43           0.73    0.38    0.73    0.50
G19        19.33   17.55   40.22          48.95   12.68  -45.42          47.16  285.60           0.82    0.74    0.33    0.78
G20        35.19   33.88   14.37          64.87    8.74   27.74          29.09   72.51           0.36    0.52    0.75    0.45
G21        33.83   32.39    9.48          63.66    9.29   40.13          41.20   76.97           0.37    0.56    0.92    0.46
G22        45.24   41.78    2.72          70.72   14.74   85.42          86.69   80.21           0.23    0.50    1.44    0.34
H01          2.56    2.99    3.37          20.01   -6.10   -6.79           9.13  228.06           1.67    1.46    1.38    1.55
H02          2.18    2.90    4.29          19.65  -12.20  -13.17          17.95  227.18           1.91    1.41    1.27    1.59
H03          1.96    2.92    5.62          19.74  -17.65  -20.05          26.71  228.64           2.25    1.35    1.16    1.63
H04          2.13    3.23    6.77          20.95  -18.99  -23.21          29.99  230.71           2.32    1.30    1.08    1.59
H05          9.71   11.10   12.02          39.76   -7.72   -9.09          11.93  229.67           1.07    0.90    0.83    0.98
H06          8.67   10.99   15.32          39.56  -15.44  -18.30          23.94  229.85           1.25    0.85    0.73    1.01
H07          7.72   10.90   19.38          39.41  -23.38  -27.85          36.36  229.98           1.54    0.81    0.63    1.04
H08          6.64   10.72   23.97          39.10  -32.53  -37.45          49.60  229.02           2.18    0.75    0.54    1.09
H09         37.53   40.29   36.62          69.67   -4.21   -4.84           6.41  228.94           0.43    0.37    0.35    0.40
H10        36.13   40.09   39.93          69.53   -8.21   -9.54          12.59  229.31           0.47    0.36    0.32    0.41
H11        34.91   40.30   44.60          69.68  -12.93  -15.18          19.95  229.58           0.53    0.34    0.27    0.42
H12        31.83   40.18   54.65          69.60  -23.39  -26.74          35.53  228.83           0.68    0.29    0.19    0.44
H13        27.66   39.15   54.76          68.86  -35.99  -28.15          45.69  218.03           0.85    0.27    0.18    0.47
H14        38.80   25.95   40.65          57.99   50.21  -30.38          58.68  328.82           0.32    0.79    0.33    0.54
H15        58.68   59.23   11.46          81.42    3.81   64.38          64.50   86.61           0.15    0.28    0.83    0.20
H16         8.77    9.13    7.49          36.23   -0.27    0.17           0.32  147.69           1.03    1.03    1.03    1.04
H17        30.14   20.82    7.91          52.75   42.96   27.00          50.74   32.14           0.35    0.95    1.01    0.61
H18        17.92   27.85   10.31          59.75  -41.19   30.63          51.33  143.37           0.89    0.44    0.88    0.59
H19        14.31   12.16   35.88          41.47   17.03  -52.44          55.14  288.00           1.01    0.90    0.39    0.95
H20        40.04   40.54   15.09          69.85    2.97   34.50          34.63   85.08           0.32    0.43    0.72    0.37
H21        30.39   31.49   20.23          62.92    0.11   10.88          10.88   89.44           0.47    0.51    0.60    0.50
H22        34.44   37.36   11.17          67.55   -5.36   41.35          41.69   97.38           0.41    0.44    0.85    0.42
I01          4.27    4.40    5.74          24.94    0.48  -11.66          11.67  272.37           1.40    1.33    1.15    1.37
I02          4.32    4.38    8.61          24.88    1.35  -23.68          23.71  273.25           1.49    1.31    0.99    1.39
I03          4.35    4.37   11.85          24.84    1.90  -34.32          34.37  273.16           1.63    1.28    0.86    1.42
I04          4.42    4.27   19.52          24.54    4.18  -53.79          53.95  274.44           2.30    1.22    0.65    1.50
I05         13.94   14.36   15.23          44.74    0.60   -9.13           9.15  273.75           0.85    0.83    0.73    0.85
I06         14.18   14.44   19.61          44.86    1.56  -18.94          19.00  274.72           0.88    0.82    0.63    0.86
I07         14.26   14.50   24.12          44.95    1.70  -27.65          27.70  273.53           0.92    0.80    0.54    0.86
I08         14.43   14.47   38.70          44.90    2.99  -50.39          50.48  273.39           1.11    0.76    0.35    0.90
I09         38.86   40.24   36.25          69.64    0.18   -4.38           4.39  272.41           0.39    0.39    0.36    0.40
I10        39.06   40.27   40.28          69.66    0.74   -9.78           9.81  274.30           0.40    0.39    0.32    0.40
I11        39.44   40.67   44.56          69.95    0.69  -14.68          14.69  272.67           0.41    0.38    0.27    0.40
I12        39.26   40.12   52.84          69.55    1.83  -24.88          24.95  274.21           0.44    0.38    0.20    0.41
I13        23.14   34.17   52.40          65.10  -38.82  -32.08          50.36  219.57           1.02    0.31    0.20    0.54
I14        33.99   20.74   36.47          52.66   57.25  -33.96          66.57  329.32           0.37    0.96    0.38    0.62
I15        56.80   56.34    7.86          79.81    6.18   73.85          74.11   85.22           0.16    0.32    0.99    0.22
I16         5.44    5.63    4.55          28.47    0.05    0.55           0.55   85.27           1.23    1.25    1.24    1.25
I17        26.03   16.63    4.87          47.78   48.22   32.08          57.92   33.64           0.40    1.14    1.21    0.69
I18        13.61   22.81    6.91          54.88  -45.20   34.72          57.00  142.47           1.06    0.51    1.04    0.68
I19        10.50    8.04   31.51          34.07   22.96  -58.77          63.10  291.34           1.22    1.08    0.45    1.15
I20        40.83   44.60   15.80          72.63   -6.55   37.53          38.10   99.90           0.34    0.36    0.70    0.34
I21        10.76   14.37    3.48          44.75  -21.17   35.16          41.05  121.05           1.00    0.78    1.33    0.85
I22        27.89   35.83   17.09          66.39  -24.44   23.73          34.07  135.85           0.59    0.38    0.67    0.46
J01          2.16    1.92    2.96          15.07    6.99  -12.41          14.24  299.39           1.67    1.75    1.44    1.72
J02          2.46    1.93    4.97          15.13   12.93  -24.74          27.91  297.59           1.67    1.76    1.23    1.72
J03          2.86    1.96    7.81          15.25   19.97  -37.27          42.29  298.18           1.71    1.77    1.05    1.74
J04          3.97    1.96   19.39          15.25   38.02  -69.53          79.25  298.67           2.36    1.70    0.67    1.87
J05         11.56   11.17   12.26          39.87    5.76   -9.59          11.19  300.99           0.91    0.97    0.83    0.95
J06         12.16   11.09   15.81          39.72   10.53  -19.22          21.91  298.71           0.90    0.98    0.73    0.96
J07         13.09   11.26   20.08          40.01   15.56  -28.29          32.28  298.80           0.89    0.99    0.63    0.95
J08         15.30   11.33   34.25          40.13   28.75  -52.42          59.78  298.75           0.89    1.00    0.41    0.96
J09         39.70   40.18   36.67          69.60    3.03   -5.04           5.88  301.00           0.38    0.40    0.36    0.40
J10        40.68   40.53   40.08          69.84    4.99   -9.21          10.48  298.43           0.37    0.40    0.32    0.39
J11        41.54   40.39   44.21          69.74    8.04  -14.61          16.67  298.84           0.36    0.41    0.28    0.39
J12        43.04   40.30   51.89          69.68   12.81  -23.62          26.87  298.48           0.35    0.41    0.21    0.39
J13        19.08   29.32   49.64          61.06  -40.82  -35.96          54.40  221.38           1.24    0.36    0.23    0.62
J14        29.83   16.59   32.60          47.74   63.41  -36.85          73.34  329.84           0.42    1.15    0.44    0.70
J15        55.30   53.84    5.35          78.37    8.65   82.34          82.80   84.00           0.16    0.36    1.15    0.24
J16         3.11    3.27    2.70          21.08   -0.64   -0.01           0.64  180.62           1.49    1.48    1.47    1.49
J17        22.55   13.35    2.92          43.28   52.54   36.54          64.00   34.82           0.45    1.34    1.43    0.77
J18        10.03   18.36    4.57          49.93  -48.99   37.44          61.66  142.61           1.27    0.59    1.21    0.78
J19         7.58    5.04   27.28          26.85   29.50  -64.40          70.84  294.61           1.49    1.29    0.51    1.37
J20        29.74   38.18   22.12          68.15  -24.90   16.14          29.67  147.05           0.58    0.35    0.56    0.44
J21         4.01    7.64    1.47          33.22  -38.89   32.63          50.77  140.00           1.70    0.96    1.69    1.16
J22         1.32    2.09    0.97          15.94  -18.11    9.58          20.49  152.14           2.04    1.55    1.88    1.72
K01          5.27    4.41    5.18          24.99   13.05   -8.81          15.75  325.98           1.21    1.44    1.20    1.33
K02          6.58    4.49    7.35          25.23   26.55  -18.23          32.20  325.53           1.09    1.55    1.06    1.30
K03          7.95    4.53    9.84          25.35   39.37  -27.14          47.82  325.42           1.00    1.69    0.95    1.28
K04          8.73    4.47   11.51          25.17   47.05  -32.74          57.33  325.17           0.96    1.81    0.89    1.27
K05         15.64   14.18   14.65          44.48   11.96   -8.12          14.45  325.83           0.75    0.90    0.75    0.84
K06         17.89   14.49   18.24          44.92   22.60  -15.88          27.62  324.91           0.67    0.94    0.67    0.81
K07         20.30   14.63   22.04          45.13   33.98  -23.40          41.26  325.45           0.60    1.00    0.59    0.80
K08         25.63   14.55   32.19          45.02   58.49  -40.93          71.39  325.02           0.50    1.17    0.44    0.77
K09         40.82   40.28   35.83          69.67    6.16   -3.73           7.20  328.78           0.35    0.41    0.37    0.39
K10        43.22   40.47   39.83          69.80   12.81   -8.95          15.63  325.07           0.32    0.43    0.32    0.38
K11        45.51   40.54   43.45          69.85   19.26  -13.48          23.51  325.01           0.29    0.45    0.29    0.38
K12        48.95   40.02   49.55          69.49   30.41  -21.35          37.15  324.93           0.24    0.49    0.24    0.37
K13        15.77   25.02   46.57          57.09  -41.63  -39.26          57.23  223.32           1.48    0.41    0.25    0.70
K14        25.57   12.85   28.33          42.54   68.91  -39.12          79.24  330.42           0.49    1.40    0.50    0.80
K15        53.12   50.54    3.33          76.40   11.62   90.73          91.48   82.70           0.17    0.41    1.36    0.26
K16         1.57    1.64    1.37          13.47   -0.25   -0.27           0.37  226.96           1.79    1.77    1.75    1.79
K17        19.09   10.41    1.50          38.57   56.20   41.52          69.87   36.46           0.52    1.61    1.72    0.86
K18         7.14   14.27    2.74          44.62  -51.37   40.27          65.27  141.90           1.51    0.68    1.43    0.90
K19         5.49    2.96   23.02          19.88   37.65  -68.82          78.44  298.68           1.80    1.55    0.59    1.63
K20         2.32    3.04    1.93          20.18  -11.73    5.23          12.84  155.95           1.70    1.43    1.60    1.54
K21         1.30    1.77    1.52          14.22  -11.24   -0.67          11.26  183.39           2.01    1.65    1.71    1.79
K22         1.69    2.19    2.94          16.45  -10.02   -9.89          14.07  224.62           1.96    1.55    1.43    1.71
L01          3.66    3.02    2.75          20.11   12.33   -2.10          12.51  350.34           1.34    1.63    1.47    1.49
L02          4.61    3.05    3.00          20.25   25.19   -3.76          25.47  351.52           1.19    1.79    1.44    1.45
L03          5.49    3.17    3.31          20.72   34.11   -5.14          34.49  351.43           1.10    1.93    1.41    1.41
L04          5.99    3.41    3.64          21.63   35.82   -5.80          36.29  350.81           1.06    1.92    1.37    1.37
L05         13.13   11.20    9.89          39.91   16.26   -2.22          16.41  352.23           0.79    1.04    0.92    0.92
L06         15.53   11.15   10.79          39.83   31.37   -5.24          31.80  350.51           0.68    1.15    0.89    0.90
L07         18.54   11.25   11.80          40.00   47.20   -8.04          47.88  350.34           0.58    1.31    0.86    0.87
L08         21.55   11.24   12.64          39.99   62.11  -10.48          62.99  350.42           0.51    1.52    0.84    0.84
L09         41.23   40.21   34.36          69.62    7.64   -1.73           7.83  347.23           0.34    0.42    0.38    0.39
L10        43.77   40.32   35.08          69.70   14.88   -2.62          15.11  350.02           0.29    0.44    0.38    0.38
L11        46.06   40.35   35.79          69.72   21.39   -3.60          21.69  350.44           0.26    0.47    0.37    0.37
L12        48.46   40.29   36.78          69.67   28.25   -5.06          28.70  349.85           0.22    0.49    0.36    0.36
L13        12.29   20.00   42.16          51.84  -40.78  -42.92          59.21  226.47           1.85    0.49    0.30    0.81
L14        21.89   10.03   24.31          37.90   72.71  -40.16          83.07  331.09           0.56    1.67    0.57    0.89
L15        49.82   46.01    1.89          73.55   15.22   97.60          98.78   81.14           0.19    0.47    1.61    0.29
L16         0.64    0.69    0.60           6.19   -1.04   -0.67           1.23  212.89           2.22    2.13    2.11    2.17
